date,site,job_title,company,job_url,status,notes
2026-07-24,Naukri,Frontend Engineer (React & React Native),Y2Z Travel,https://www.naukri.com/job-listings-frontend-engineer-react-react-native-y2z-travel-bengaluru-1-to-5-years-191224503297,failed,Apply button not found
2026-07-24,Naukri,Frontend Engineer (React / React Native),Prepairo,https://www.naukri.com/job-listings-frontend-engineer-react-react-native-prepairo-bengaluru-2-to-5-years-010626503686,failed,Apply button not found
2026-07-24,Naukri,"Associate Principal Engineer, Frontend React",Nagarro,https://www.naukri.com/job-listings-associate-principal-engineer-frontend-react-nagarro-software-pvt-ltd-bengaluru-0-to-3-years-291025503104,skipped,score -100 below threshold
2026-07-24,Naukri,React Frontend Engineer,Omniful,https://www.naukri.com/job-listings-react-frontend-engineer-omniful-gurugram-3-to-8-years-200525503513,skipped,score 55 below threshold
2026-07-24,Naukri,Frontend - Engineer,Varaha Systems,https://www.naukri.com/job-listings-frontend-engineer-varaha-systems-inc-bengaluru-3-to-8-years-140726501769,skipped,score 55 below threshold
2026-07-24,Naukri,"Engineer, Frontend React",Nagarro,https://www.naukri.com/job-listings-engineer-frontend-react-nagarro-software-pvt-ltd-bengaluru-2-to-7-years-291025501402,skipped,score 55 below threshold
2026-07-24,Naukri,Frontend Engineer (React),Startappss Systems Pvt Ltd,https://www.naukri.com/job-listings-230726503784,skipped,score 55 below threshold
2026-07-24,Naukri,Frontend Engineer ( React / Next . js ),Workforce Next,https://www.naukri.com/job-listings-frontend-engineer-react-next-js-workforce-next-noida-2-to-6-years-140526500224,skipped,score 55 below threshold
2026-07-24,Naukri,Frontend Engineer (React),Technix India Solutions,https://www.naukri.com/job-listings-frontend-engineer-react-technix-technology-patna-0-to-2-years-101125501751,skipped,score 55 below threshold
2026-07-24,Naukri,Frontend Engineer (React.js / Next.js),Aqilea,https://www.naukri.com/job-listings-frontend-engineer-react-js-next-js-aqilea-formerly-soltia-bengaluru-5-to-9-years-150726500749,skipped,experience 5-9 Yrs out of range
2026-07-24,Naukri,Frontend Engineer,Vowels Of The People Association,https://www.naukri.com/job-listings-frontend-engineer-vopa-pune-3-to-5-years-200726504194,skipped,score 10 below threshold
2026-07-24,Naukri,Frontend Engineer,Apex 2000,https://www.naukri.com/job-listings-frontend-engineer-apex-2000-inc-pune-3-to-7-years-290626503315,skipped,score 10 below threshold
2026-07-24,Naukri,Front end Engineer,Diverse Lynx,https://www.naukri.com/job-listings-front-end-engineer-diverse-lynx-bengaluru-1-to-5-years-230626501437,skipped,score 55 below threshold
2026-07-24,Naukri,React Frontend Engineer,Leading Client,https://www.naukri.com/job-listings-react-frontend-engineer-contactx-resource-management-pvt-ltd-bengaluru-7-to-10-years-170726918079,skipped,experience 7-10 Yrs out of range
2026-07-24,Naukri,Frontend Engineer,Alaan,https://www.naukri.com/job-listings-frontend-engineer-alaan-bengaluru-2-to-7-years-100726509609,skipped,score 30 below threshold
2026-07-24,Naukri,Frontend Engineer,Diverse Lynx,https://www.naukri.com/job-listings-frontend-engineer-diverse-lynx-bengaluru-2-to-6-years-080825500478,skipped,score 10 below threshold
